@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
128,'2024/11/04 18:09:32:141',3,0.489062,0.239583,0.50625,0.214583,0.514063,0.216667,0.521875,0.21875,0.479688,0.216667,0.46875,0.21875,0.459375,0.220833,0.5375,0.247917,0.445313,0.245833,0.50625,0.28125,0.473437,0.277083,0.589063,0.520833,0.342187,0.41875,0.75,0.735417,0.242188,0.220833,0.785937,0.714583,0.376563,0.214583,0.8,0.708333,0.409375,0.222917,0.803125,0.672917,0.41875,0.2375,0.7875,0.679167,0.410937,0.245833,0.507813,0.966667,0.35,0.939583,0.478125,1.389583,0.3125,1.3625,0.4375,1.758333,0.276563,1.714583,0.442187,1.816667,0.264062,1.75625,0.409375,1.8625,0.295312,1.845833,0.339184,0.339592
129,'2024/11/04 18:09:32:181',3,0.489062,0.239583,0.50625,0.214583,0.514063,0.216667,0.523438,0.21875,0.479688,0.216667,0.470313,0.21875,0.459375,0.220833,0.5375,0.25,0.446875,0.245833,0.50625,0.28125,0.473437,0.277083,0.590625,0.520833,0.342187,0.41875,0.75,0.735417,0.242188,0.220833,0.782812,0.729167,0.376563,0.214583,0.801562,0.716667,0.409375,0.222917,0.803125,0.683333,0.41875,0.2375,0.7875,0.689583,0.410937,0.245833,0.507813,0.964583,0.35,0.939583,0.478125,1.389583,0.3125,1.3625,0.439063,1.758333,0.276563,1.714583,0.442187,1.816667,0.264062,1.75625,0.410937,1.864583,0.295312,1.845833,0.339184,0.339592
130,'2024/11/04 18:09:32:221',3,0.489062,0.239583,0.50625,0.214583,0.514063,0.216667,0.523438,0.21875,0.479688,0.216667,0.470313,0.21875,0.459375,0.220833,0.5375,0.25,0.446875,0.245833,0.50625,0.28125,0.473437,0.277083,0.589063,0.51875,0.342187,0.416667,0.74375,0.733333,0.24375,0.220833,0.823438,0.754167,0.376563,0.214583,0.879687,0.747917,0.409375,0.222917,0.876562,0.708333,0.41875,0.2375,0.85625,0.7125,0.410937,0.245833,0.507813,0.9625,0.348437,0.9375,0.475,1.389583,0.307813,1.360417,0.434375,1.758333,0.273438,1.7125,0.439063,1.814583,0.2625,1.754167,0.409375,1.864583,0.292188,1.845833,0.339184,0.339592
131,'2024/11/04 18:09:32:265',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.216667,0.523438,0.21875,0.479688,0.216667,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.28125,0.473437,0.277083,0.589063,0.516667,0.342187,0.414583,0.742188,0.733333,0.242188,0.220833,0.8,0.745833,0.376563,0.210417,0.821875,0.7375,0.409375,0.220833,0.832812,0.70625,0.41875,0.233333,0.815625,0.7125,0.410937,0.241667,0.507813,0.958333,0.348437,0.933333,0.476563,1.385417,0.309375,1.358333,0.435937,1.75625,0.273438,1.710417,0.439063,1.8125,0.2625,1.752083,0.409375,1.8625,0.292188,1.84375,0.339184,0.339592
132,'2024/11/04 18:09:32:307',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.523438,0.21875,0.479688,0.216667,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.589063,0.51875,0.342187,0.414583,0.74375,0.735417,0.242188,0.220833,0.757813,0.675,0.376563,0.210417,0.757813,0.66875,0.410937,0.220833,0.74375,0.635417,0.41875,0.233333,0.732813,0.645833,0.4125,0.241667,0.507813,0.958333,0.348437,0.933333,0.476563,1.385417,0.309375,1.358333,0.435937,1.75625,0.273438,1.7125,0.440625,1.814583,0.2625,1.754167,0.409375,1.8625,0.29375,1.84375,0.339184,0.339592
133,'2024/11/04 18:09:32:346',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.523438,0.220833,0.479688,0.21875,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.589063,0.51875,0.342187,0.414583,0.745313,0.735417,0.242188,0.222917,0.7625,0.683333,0.379687,0.2125,0.767187,0.675,0.410937,0.220833,0.751562,0.641667,0.420312,0.233333,0.739062,0.65,0.4125,0.241667,0.507813,0.960417,0.348437,0.935417,0.476563,1.385417,0.309375,1.358333,0.4375,1.75625,0.275,1.7125,0.442187,1.814583,0.2625,1.754167,0.410937,1.8625,0.29375,1.845833,0.339184,0.339592
134,'2024/11/04 18:09:32:390',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.523438,0.220833,0.479688,0.21875,0.470313,0.21875,0.460938,0.220833,0.539063,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.590625,0.51875,0.342187,0.414583,0.746875,0.735417,0.242188,0.222917,0.757813,0.70625,0.379687,0.2125,0.767187,0.685417,0.410937,0.220833,0.760938,0.652083,0.420312,0.233333,0.748438,0.6625,0.4125,0.241667,0.507813,0.958333,0.35,0.933333,0.482812,1.385417,0.315625,1.358333,0.446875,1.75625,0.28125,1.7125,0.454688,1.814583,0.270312,1.754167,0.41875,1.8625,0.301562,1.847917,0.339184,0.339592
135,'2024/11/04 18:09:32:430',3,0.489062,0.241667,0.50625,0.216667,0.514063,0.21875,0.521875,0.220833,0.479688,0.21875,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.589063,0.516667,0.342187,0.4125,0.735937,0.729167,0.24375,0.222917,0.7625,0.702083,0.379687,0.210417,0.771875,0.685417,0.410937,0.220833,0.764063,0.654167,0.41875,0.233333,0.75,0.6625,0.4125,0.241667,0.507813,0.95625,0.35,0.93125,0.482812,1.379167,0.315625,1.354167,0.446875,1.75,0.28125,1.710417,0.453125,1.80625,0.270312,1.752083,0.41875,1.854167,0.301562,1.845833,0.339184,0.339592
136,'2024/11/04 18:09:32:470',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.220833,0.479688,0.21875,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.589063,0.516667,0.342187,0.4125,0.7375,0.73125,0.24375,0.225,0.7625,0.689583,0.378125,0.210417,0.771875,0.685417,0.409375,0.21875,0.75625,0.654167,0.41875,0.233333,0.742188,0.6625,0.4125,0.241667,0.507813,0.960417,0.35,0.933333,0.482812,1.38125,0.315625,1.360417,0.446875,1.752083,0.28125,1.714583,0.453125,1.810417,0.270312,1.75625,0.41875,1.858333,0.301562,1.847917,0.339184,0.339592
137,'2024/11/04 18:09:32:511',3,0.489062,0.241667,0.50625,0.216667,0.514063,0.21875,0.521875,0.220833,0.479688,0.21875,0.470313,0.220833,0.460938,0.222917,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.279167,0.589063,0.516667,0.34375,0.4125,0.740625,0.733333,0.24375,0.225,0.753125,0.704167,0.378125,0.210417,0.770312,0.6875,0.410937,0.220833,0.75625,0.65625,0.41875,0.233333,0.742188,0.6625,0.4125,0.241667,0.507813,0.95625,0.351563,0.93125,0.482812,1.38125,0.317187,1.358333,0.45,1.752083,0.284375,1.714583,0.45625,1.810417,0.273438,1.75625,0.420312,1.85625,0.304688,1.847917,0.339184,0.339592
