@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
11,'2024/11/10 10:49:43:108',1,0.70625,0.30625,0.710938,0.29375,0.715625,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.670313,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.152083,0.742188,0.13125,0.671875,0.15,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.684375,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.85625,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
12,'2024/11/10 10:49:43:160',1,0.70625,0.30625,0.7125,0.29375,0.715625,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.670313,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.665625,0.152083,0.742188,0.13125,0.671875,0.15,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.684375,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
13,'2024/11/10 10:49:43:199',1,0.707812,0.30625,0.7125,0.29375,0.715625,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.670313,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.665625,0.152083,0.742188,0.13125,0.671875,0.15,0.739062,0.139583,0.675,0.158333,0.739062,0.560417,0.684375,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.85625,0.740625,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
14,'2024/11/10 10:49:50:255',2,0.475,0.372917,0.479688,0.3625,0.482812,0.3625,0.485938,0.3625,0.471875,0.3625,0.46875,0.3625,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.48125,0.38125,0.470313,0.379167,0.50625,0.40625,0.453125,0.40625,0.510938,0.329167,0.442187,0.333333,0.503125,0.258333,0.448438,0.258333,0.5,0.24375,0.448438,0.241667,0.495313,0.241667,0.453125,0.239583,0.495313,0.245833,0.454688,0.245833,0.495313,0.554167,0.45625,0.545833,0.489062,0.6625,0.454688,0.654167,0.485938,0.745833,0.44375,0.720833,0.484375,0.75625,0.44375,0.729167,0.492188,0.770833,0.442187,0.745833,0.82,0.85823,0.86,0.86
15,'2024/11/10 10:49:50:297',2,0.475,0.372917,0.479688,0.364583,0.482812,0.3625,0.485938,0.3625,0.471875,0.364583,0.46875,0.3625,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.470313,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.258333,0.448438,0.258333,0.5,0.24375,0.448438,0.24375,0.495313,0.241667,0.453125,0.241667,0.495313,0.247917,0.454688,0.245833,0.495313,0.554167,0.45625,0.545833,0.489062,0.660417,0.454688,0.652083,0.485938,0.739583,0.445313,0.7125,0.484375,0.75,0.445313,0.722917,0.490625,0.764583,0.442187,0.741667,0.82,0.85823,0.86,0.86
16,'2024/11/10 10:49:50:336',2,0.475,0.372917,0.479688,0.364583,0.482812,0.3625,0.485938,0.3625,0.471875,0.364583,0.46875,0.3625,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.471875,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.258333,0.448438,0.258333,0.5,0.24375,0.448438,0.24375,0.495313,0.241667,0.453125,0.241667,0.495313,0.247917,0.45625,0.245833,0.495313,0.554167,0.45625,0.545833,0.489062,0.660417,0.454688,0.65,0.485938,0.739583,0.445313,0.7125,0.482812,0.747917,0.445313,0.720833,0.490625,0.764583,0.442187,0.7375,0.82,0.85823,0.86,0.86
17,'2024/11/10 10:49:50:382',2,0.475,0.372917,0.479688,0.364583,0.482812,0.364583,0.485938,0.3625,0.471875,0.364583,0.46875,0.364583,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.471875,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.258333,0.448438,0.258333,0.5,0.24375,0.448438,0.24375,0.495313,0.241667,0.453125,0.241667,0.495313,0.247917,0.45625,0.245833,0.495313,0.554167,0.45625,0.545833,0.489062,0.660417,0.454688,0.65,0.485938,0.7375,0.445313,0.7125,0.482812,0.747917,0.445313,0.71875,0.490625,0.7625,0.44375,0.7375,0.82,0.85823,0.86,0.86
18,'2024/11/10 10:49:50:424',2,0.475,0.372917,0.479688,0.364583,0.482812,0.364583,0.485938,0.3625,0.471875,0.364583,0.46875,0.364583,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.471875,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.260417,0.448438,0.258333,0.5,0.24375,0.448438,0.24375,0.496875,0.241667,0.453125,0.241667,0.495313,0.247917,0.45625,0.245833,0.495313,0.554167,0.45625,0.545833,0.489062,0.658333,0.454688,0.65,0.485938,0.739583,0.445313,0.7125,0.482812,0.747917,0.445313,0.720833,0.490625,0.764583,0.442187,0.7375,0.82,0.85823,0.86,0.86
19,'2024/11/10 10:49:50:466',2,0.475,0.372917,0.479688,0.364583,0.482812,0.364583,0.485938,0.3625,0.471875,0.364583,0.46875,0.364583,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.471875,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.260417,0.448438,0.258333,0.501562,0.24375,0.448438,0.24375,0.496875,0.241667,0.453125,0.241667,0.495313,0.247917,0.45625,0.247917,0.495313,0.554167,0.45625,0.545833,0.489062,0.660417,0.454688,0.65,0.485938,0.739583,0.445313,0.7125,0.484375,0.747917,0.445313,0.720833,0.490625,0.764583,0.44375,0.7375,0.82,0.85823,0.86,0.86
20,'2024/11/10 10:49:50:507',2,0.475,0.372917,0.479688,0.364583,0.482812,0.364583,0.485938,0.3625,0.471875,0.364583,0.46875,0.364583,0.467187,0.3625,0.490625,0.364583,0.465625,0.364583,0.482812,0.38125,0.471875,0.38125,0.50625,0.40625,0.453125,0.40625,0.510938,0.33125,0.442187,0.333333,0.503125,0.260417,0.448438,0.258333,0.501562,0.24375,0.448438,0.24375,0.496875,0.241667,0.454688,0.241667,0.495313,0.247917,0.45625,0.247917,0.495313,0.554167,0.45625,0.545833,0.489062,0.660417,0.454688,0.652083,0.485938,0.739583,0.445313,0.7125,0.484375,0.75,0.445313,0.720833,0.490625,0.764583,0.44375,0.739583,0.82,0.85823,0.86,0.86
