@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
136,'2024/11/09 12:20:07:831',5,0.246875,0.110417,0.253125,0.1,0.25625,0.102083,0.260938,0.104167,0.240625,0.097917,0.2375,0.097917,0.232812,0.097917,0.264062,0.114583,0.228125,0.110417,0.253125,0.13125,0.2375,0.129167,0.292188,0.21875,0.176563,0.19375,0.335938,0.297917,0.11875,0.25,0.390625,0.304167,0.0875,0.325,0.414063,0.297917,0.075,0.35625,0.414063,0.2875,0.085938,0.358333,0.40625,0.289583,0.090625,0.35,0.254687,0.4125,0.190625,0.404167,0.259375,0.552083,0.154687,0.539583,0.260938,0.6875,0.13125,0.685417,0.264062,0.708333,0.1375,0.708333,0.25625,0.729167,0.109375,0.722917,0.882011,0.655227,0.26654,0.480518,0.82405
137,'2024/11/09 12:20:07:876',5,0.24375,0.108333,0.25,0.1,0.253125,0.102083,0.257813,0.102083,0.2375,0.097917,0.234375,0.097917,0.229687,0.097917,0.260938,0.114583,0.225,0.110417,0.251563,0.13125,0.234375,0.127083,0.2875,0.21875,0.173438,0.191667,0.33125,0.297917,0.114063,0.245833,0.389062,0.308333,0.079687,0.322917,0.410937,0.304167,0.067188,0.354167,0.4125,0.29375,0.078125,0.354167,0.404687,0.295833,0.084375,0.345833,0.251563,0.4125,0.185937,0.404167,0.257813,0.547917,0.151562,0.539583,0.260938,0.685417,0.132813,0.685417,0.264062,0.70625,0.140625,0.708333,0.25625,0.727083,0.1125,0.725,0.882011,0.655227,0.26654,0.480518,0.82405
138,'2024/11/09 12:20:07:917',5,0.242188,0.108333,0.248437,0.1,0.253125,0.102083,0.25625,0.102083,0.235938,0.097917,0.232812,0.097917,0.228125,0.097917,0.259375,0.114583,0.223438,0.110417,0.25,0.13125,0.232812,0.127083,0.2875,0.220833,0.173438,0.191667,0.33125,0.297917,0.1125,0.245833,0.3875,0.310417,0.079687,0.320833,0.409375,0.308333,0.067188,0.352083,0.410937,0.297917,0.076563,0.352083,0.403125,0.3,0.082813,0.34375,0.251563,0.4125,0.185937,0.404167,0.257813,0.55,0.15,0.539583,0.260938,0.685417,0.132813,0.685417,0.265625,0.70625,0.140625,0.708333,0.25625,0.729167,0.110937,0.725,0.882011,0.655227,0.26654,0.480518,0.82405
139,'2024/11/09 12:20:07:961',5,0.235938,0.108333,0.24375,0.1,0.246875,0.102083,0.251563,0.104167,0.23125,0.097917,0.228125,0.097917,0.223438,0.097917,0.254687,0.116667,0.21875,0.110417,0.24375,0.13125,0.226563,0.127083,0.28125,0.220833,0.165625,0.189583,0.325,0.297917,0.101563,0.241667,0.379687,0.316667,0.064062,0.31875,0.403125,0.31875,0.051562,0.347917,0.403125,0.310417,0.0625,0.347917,0.395312,0.310417,0.070313,0.341667,0.245312,0.410417,0.179688,0.404167,0.254687,0.547917,0.148438,0.539583,0.260938,0.683333,0.134375,0.685417,0.265625,0.704167,0.142188,0.70625,0.25625,0.727083,0.114063,0.725,0.882011,0.655227,0.26654,0.480518,0.82405
140,'2024/11/09 12:20:08:002',5,0.225,0.108333,0.23125,0.1,0.235938,0.1,0.239063,0.102083,0.21875,0.097917,0.215625,0.097917,0.210938,0.097917,0.24375,0.116667,0.204688,0.110417,0.232812,0.129167,0.217187,0.127083,0.267188,0.21875,0.153125,0.1875,0.307813,0.3,0.0875,0.23125,0.367188,0.333333,0.040625,0.3,0.3875,0.339583,0.028125,0.329167,0.389062,0.335417,0.0375,0.33125,0.379687,0.333333,0.045313,0.325,0.228125,0.410417,0.1625,0.404167,0.246875,0.547917,0.1375,0.545833,0.257813,0.683333,0.134375,0.683333,0.2625,0.702083,0.142188,0.704167,0.25625,0.727083,0.11875,0.735417,0.882011,0.655227,0.26654,0.480518,0.82405
141,'2024/11/09 12:20:08:043',5,0.217187,0.10625,0.223438,0.097917,0.228125,0.1,0.232812,0.102083,0.2125,0.095833,0.207813,0.095833,0.203125,0.095833,0.2375,0.116667,0.196875,0.110417,0.223438,0.129167,0.209375,0.125,0.260938,0.21875,0.146875,0.1875,0.303125,0.3,0.08125,0.229167,0.360938,0.341667,0.034375,0.29375,0.38125,0.35,0.021875,0.320833,0.38125,0.345833,0.029687,0.325,0.373437,0.34375,0.0375,0.31875,0.225,0.410417,0.159375,0.40625,0.24375,0.545833,0.132813,0.545833,0.25625,0.683333,0.135937,0.683333,0.257813,0.702083,0.14375,0.7,0.257813,0.727083,0.125,0.733333,0.882011,0.655227,0.26654,0.480518,0.82405
142,'2024/11/09 12:20:08:084',5,0.2125,0.10625,0.21875,0.097917,0.223438,0.1,0.226563,0.102083,0.207813,0.095833,0.204688,0.095833,0.2,0.097917,0.23125,0.116667,0.195313,0.110417,0.21875,0.129167,0.204688,0.125,0.25625,0.21875,0.142188,0.1875,0.3,0.3,0.076563,0.227083,0.35625,0.345833,0.028125,0.291667,0.376563,0.354167,0.014062,0.316667,0.376563,0.352083,0.021875,0.322917,0.36875,0.35,0.03125,0.316667,0.220313,0.410417,0.154687,0.404167,0.240625,0.54375,0.13125,0.541667,0.25625,0.68125,0.134375,0.68125,0.254687,0.697917,0.139062,0.691667,0.257813,0.727083,0.126563,0.733333,0.882011,0.655227,0.26654,0.480518,0.82405
143,'2024/11/09 12:20:08:128',5,0.210938,0.10625,0.217187,0.097917,0.221875,0.1,0.225,0.102083,0.20625,0.095833,0.201562,0.095833,0.198437,0.097917,0.228125,0.116667,0.192188,0.110417,0.21875,0.129167,0.201562,0.125,0.253125,0.220833,0.1375,0.1875,0.295312,0.302083,0.070313,0.227083,0.35,0.35,0.021875,0.291667,0.371875,0.3625,0.00625,0.314583,0.371875,0.360417,0.014062,0.322917,0.364062,0.358333,0.023438,0.316667,0.217187,0.408333,0.15,0.404167,0.239063,0.541667,0.128125,0.5375,0.254687,0.68125,0.132813,0.679167,0.253125,0.697917,0.139062,0.691667,0.257813,0.727083,0.126563,0.73125,0.882011,0.655227,0.26654,0.480518,0.82405
144,'2024/11/09 12:20:08:169',5,0.209375,0.10625,0.215625,0.097917,0.21875,0.1,0.221875,0.102083,0.203125,0.095833,0.2,0.095833,0.195313,0.097917,0.225,0.116667,0.1875,0.110417,0.217187,0.129167,0.2,0.125,0.25,0.220833,0.135937,0.1875,0.292188,0.302083,0.06875,0.227083,0.345313,0.354167,0.017188,0.291667,0.36875,0.36875,0,0.310417,0.36875,0.366667,0.007813,0.31875,0.360938,0.364583,0.01875,0.314583,0.214062,0.408333,0.146875,0.404167,0.2375,0.5375,0.125,0.5375,0.253125,0.68125,0.128125,0.677083,0.254687,0.697917,0.139062,0.691667,0.257813,0.727083,0.126563,0.73125,0.882011,0.655227,0.26654,0.480518,0.82405
145,'2024/11/09 12:20:08:209',5,0.203125,0.108333,0.209375,0.1,0.214062,0.102083,0.217187,0.104167,0.198437,0.097917,0.19375,0.097917,0.190625,0.097917,0.220313,0.116667,0.184375,0.110417,0.210938,0.129167,0.19375,0.125,0.246875,0.220833,0.13125,0.1875,0.289063,0.30625,0.064062,0.227083,0.34375,0.358333,0.014062,0.291667,0.365625,0.372917,-0.001563,0.310417,0.365625,0.372917,0.004688,0.31875,0.35625,0.36875,0.014062,0.314583,0.209375,0.408333,0.142188,0.404167,0.234375,0.539583,0.128125,0.539583,0.251563,0.68125,0.128125,0.677083,0.253125,0.695833,0.1375,0.691667,0.257813,0.727083,0.126563,0.73125,0.882011,0.655227,0.26654,0.480518,0.82405
